paper,edition
Interface Automata with Complex Actions.,"Proceedings of the First IPM International Workshop on Foundations of Software Engineering, FSEN 2005, Tehran, Iran, October 1-3, 2005"
GeoThms - a Web System for Euclidean Constructive Geometry.,"Proceedings of the 7th Workshop on User Interfaces for Theorem Provers, UITP@FLoC 2006, Seattle, WA, USA, August 21, 2006"
Towards SOS Meta-Theory for Language-Based Security.,"Proceedings of the Workshop ""Essays on Algebraic Process Calculi"", APC 25, Bertinoro, Italy, August 1-5, 2005"
An Approach to Splitting Atoms Safely: Extended Abstract.,"Proceedings of the 21st Annual Conference on Mathematical Foundations of Programming Semantics, MFPS 2005, Birmingham, UK, May 18-21, 2005"
The Relevance of Semantic Subtyping.,"Intersection Types and Related Systems, ITRS 2002, FLoC Satellite Event, Copenhagen, Denmark, July 26, 2002"
Reasoning with Graphs.,"Proceedings of the 13th Workshop on Logic, Language, Information and Computation, WoLLIC 2006, Stanford University, CA, USA, July 18-21, 2006"
A Formal Framework for Web Services Coordination.,"Proceedings of the Third International Workshop on Foundations of Coordination Languages and Software Architectures, FOCLASA 2004, London, UK, August 30, 2004"
Preface.,"1st Workshop on Behavioral Change and Ambient Intelligence for Sustainability, BRAINS@AmI 2018, and 2nd Workshop on Affective Interaction with Avatars and Robots, WS-AFFIN@AmI 2018, Larnaca, Cyprus, 2018"
A Verification Approach for GALS Integration of Synchronous Components.,"Proceedings of the Second Workshop on Globally Asynchronous, Locally Synchronous Design, FMGALS@MEMOCODE 2005, Verona, Italy, July 15, 2005"
An Analysis for Causal Properties of Membrane Interactions.,"Proceedings of the fourth International Workshop on Interactions between Computer Science and Biology, CS2Bio 2013, Florence, Italy, June 6, 2013"
A General Constructive Proof Technique.,"Proceedings of the 6th Workshop on Computability and Complexity in Analysis, CCA 2004, Wittenberg, Germany, August 16-20, 2004"
A Logical Approach to Hamiltonian Graphs.,"Proceedings of the Third Workshop on Logical and Semantic Frameworks with Applications, LSFA 2008, Salvador, Brazil, August 26, 2008"
Measurements on domains and topology.,"First Irish Conference on the Mathematical Foundations of Computer Science and Information Technology, MFCSIT 2000, Cork, Ireland, July 20-21, 2000"
Compressing Propositional Refutations.,"Proceedings of the 6th International Workshop on Automated Verification of Critical Systems, AVoCS 2006, Nancy, France, September 18-19, 2006"
Algebraic Information Theory For Binary Channels.,"Proceedings of the 22nd Annual Conference on Mathematical Foundations of Programming Semantics, MFPS 2006, Genova, Italy, May 23-27, 2006"
Preface.,"Proceedings of the Ninth International Workshop on the Practical Application of Stochastic Modelling, PASM 2017, Berlin, Germany, September 9, 2017"
An Automata Based Approach for Verifying Information Flow Properties.,"Proceedings of the Second Workshop on Automated Reasoning for Security Protocol Analysis, ARSPA@ICALP 2005, Lisbon, Portugal, July 16, 2005"
Weightable quasi-metric semigroups and semilattices.,"First Irish Conference on the Mathematical Foundations of Computer Science and Information Technology, MFCSIT 2000, Cork, Ireland, July 20-21, 2000"
Preface.,"International Workshop on Functional and (Constraint) Logic Programming, WFLP 2001, Kiel, Germany, September 13-15, 2001, Selected Papers"
Preface.,"Proceedings of the Second International Workshop on Views on Designing Complex Architectures, VODCA@FOSAD 2006, Bertinoro, Italy, September 16-17, 2006"
Termination and normalisation under strategy Proofs in ELAN.,"The 3rd International Workshop on Rewriting Logic and its Applications, WRLA 2000, Kanzawa, Japan, September 18-20, 2000"
Towards Proof Generating Compilers.,"Proceedings of the 3rd International Workshop on Compiler Optimization Meets Compiler Verification, COCV@ETAPS 2004, Barcelona, Spain, April 3, 2004"
A Symbolic Procedure for Control Reachability in the Asynchronous Pi-calculus: Extended Abstract.,"Proceedings of INFINITY 2003, the 5th International Workshop on Verification of Infinite-State Systems, a satellite workshop of CONCUR 2003, Marseille, France, September 2, 2003"
Long Normal Form Proof Search and Counter-Model Generation.,"Proceedings of the Workshop on Type-Theoretic Languages: Proof Search and Semantics 2000, held in conjunction with CADE-17 Conference, Pittsburgh, PA, USA, June 20-21, 2000"
Monitoring Java Programs with Java PathExplorer.,"Workshop on Runtime Verification, RV 2001, in connection with CAV 2001, Paris, France, July 23, 2001"
Thoughts on Requirements and Design Issues of User Interfaces for Proof Assistants.,"Proceedings of the User Interfaces for Theorem Provers Workshop, UITP@TPHOLs 2003, Rome, Italy, September 8, 2003"
"Iterate, Incrementalize, and Implement: A systematic approach to efficiency improvement and guarantees.","Proceedings of the Fifth International Workshop on Implicit Computational Complexity, ICC@LICS 2003, Ottawa, Canada, June 26-27, 2003"
Approximate Relational Hoare Logic for Continuous Random Samplings.,"The Thirty-second Conference on the Mathematical Foundations of Programming Semantics, MFPS 2016, Carnegie Mellon University, Pittsburgh, PA, USA, May 23-26, 2016"
The constructive maximal point space.,"Second Irish Conference on the Mathematical Foundations of Computer Science and Information Technology, MFCSIT 2002, Galway, Ireland, July 18-19, 2002"
Continuous Probability Distributions in Concurrent Games.,"Proceedings of the Thirty-Fourth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2018, Dalhousie University, Halifax, Canada, June 6-9, 2018"
A Simple Criterion for Nodal 3-connectivity in Planar Graphs.,"Proceedings of the Irish Conference on the Mathematical Foundations of Computer Science and Information Technology, MFCSIT 2006, Cork, Ireland, August 1-5, 2006"
Equational Abstractions for Model Checking Erlang Programs.,"Proceedings of the International Workshop on Software Verification and Validation, SVV@ICLP 2003, Mumbai, India, December 14, 2003"
Fairness of Components in System Computations.,"Proceedings of the 11th International Workshop on Expressiveness in Concurrency, EXPRESS 2004, London, UK, August 30, 2004"
On-demand Evaluation by Program Transformation.,"4th International Workshop on Rule-Based Programming, RULE 2003, in connection with RDP 2003, Federated Conference on Rewriting, Deduction and Programming, Valencia, Spain, June 12-13, 2003"
Properties of General Semantic Operators Determined by Logic-Based Systems.,"Proceedings of the Irish Conference on the Mathematical Foundations of Computer Science and Information Technology, MFCSIT 2006, Cork, Ireland, August 1-5, 2006"
Properties of Set Functors.,"Proceedings of the Workshop of the COMETA Project on Computational Metamodels, COMETA 2003, Udine, Italy, December 15-17, 2003"
The Usability of Ambiguity Detection Methods for Context-Free Grammars.,"Proceedings of the 8th Workshop on Language Descriptions, Tools and Applications, LDTA 2008, Budapest, Hungary, April 5, 2008"
CHR: A Constructive Relevant Natural-deduction Logic.,"Proceedings of Computing: The Australasian Theory Symposium, CATS 2004, Dunedin, New Zealand, January 19-20, 2004"
A Category Theoretic Formulation for Engeler-style Models of the Untyped lambda.,"Proceedings of the Third Irish Conference on the Mathematical Foundations of Computer Science and Information Technology, MFCSIT 2004, Dublin, Ireland, July 22-23, 2004"
The Axiom System ISigma,"Proceedings of the 13th Workshop on Logic, Language, Information and Computation, WoLLIC 2006, Stanford University, CA, USA, July 18-21, 2006"
A Foundation for Space-Safe Transformations of Call-by-Need Programs.,"Third Workshop on Higher-Order Operational Techniques in Semantics, HOOTS 1999, Paris, France, September 30 - October 1, 1999"
Thematic Schema Building for Mediation-based Peer-to-Peer Architecture.,"Proceedings of the International Workshop on Database Interoperability, InterDB@COORDINATION 2005, Namur, Belgium, April 23, 2005"
Verification of Scenario-based Specifications using Templates.,"Proceedings of the International Workshop on Software Verification and Validation, SVV@ICLP 2003, Mumbai, India, December 14, 2003"
On the Expressive Power of Temporal Concurrent Constraint Programming Languages (invited talk).,"9th International Workshop on Expressiveness in Concurrency, EXPRESS 2002, Satellite Workshop from CONCUR 2002, Brno, Czech Republic, August 19, 2002"
Dealing Denotationally With Stream-based Communication.,"Proceedings of the Fourth Spanish Conference on Programming and Computer Languages, PROLE 2004, Málaga, Spain, November 10-12, 2004"
A Characterization of Monotonicity with Collective Quantifiers.,"Proceedings of the joint meeting of the 6th Conference on Formal Grammar (FG) and the 7th Conference on Mathematics of Language (MOL), FGMOL 2001, Helsinki, Finland, August 10-12, 2001"
Dynamic Epistemic Logic with Communication Actions.,"Proceedings of the 13th Workshop on Logical and Semantic Frameworks with Applications, LSFA 2018, Fortaleza, Brazil, September 26-28, 2018"
Slicing Event Spaces: Towards a Java Programs Checking Framework.,"Eighth International Workshop on Formal Methods for Industrial Critical Systems, FMICS 2003, Roros, Norway, June 5-7, 2003"
Verifying a Network Invariant for All Configurations of the Futurebus+ Cache Coherence Protocol.,"Verification of Parameterized Systems, VEPAS 2001, Satellite Workshop of ICALP 2001, Crete, Greece, July 13, 2001"
Geometric Aspects of Multiagent Systems.,"4th Workshop on GEometry and Topology in COncurrency and distributed systems theory, GETCO 2002, Satellite workshop of DISC 2002, Toulouse, France, October 2002"
Adapting The Directed Grid Theorem into an FPT Algorithm.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
On Subset Families That Form a Continuous Lattice.,"Seventh International Symposium on Domain Theory and Its Applications, ISDT 2017, Shijiazhuang, China, June 2-6, 2017"
Preface.,"4th International Workshop on Verification of Infinite-State Systems (CONCUR 2002 Satellite Workshop), Infinity 2002, Brno, Czech Republic, August 24, 2002"
Formal Methods Elsewhere - A Satellite Workshop of FORTE-PSTV-2000 devoted to applications of formal methods to areas other than communication protocols and software engineering.,"Formal Methods Elsewhere - a Satellite Workshop of FORTE-PSTV-2000 devoted to applications of formal methods to areas other than communication protocols and software engineering, FM-Elsewhere 2000, Pisa, Italy, October 2000"
Inferring Context-Free Grammars for Domain-Specific Languages.,"Proceedings of the Fifth Workshop on Language Descriptions, Tools, and Applications, LDTA@ETAPS 2005, Edinburgh, UK, April 3, 2005"
"Relational Graph Models, Taylor Expansion and Extensionality.","Proceedings of the 30th Conference on the Mathematical Foundations of Programming Semantics, MFPS 2014, Ithaca, NY, USA, June 12-15, 2014"
Verifying Communication Protocols Using Live Sequence Chart Specifications.,"Proceedings of the Eighth International Workshop on Automated Verification of Critical Systems, AVoCS 2008, Glasgow, UK, September 30 - October 1, 2008"
A Framework for Component Categories.,"Proceedings of the Workshops on Geometric and Topological Methods in Concurrency Theory, GETCO@DISC 2004, Amsterdam, The Netherlands, 2004 + GETCO@CONCUR October 2005, San Francisco, CA, USA, August 2005 + GETCO 2006, Bonn, Germany, 2006"
On the Unavoidability of Oriented Trees.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
Model Checking Merged Program Traces.,"Proceedings of the Eleventh Brazilian Symposium on Formal Methods, SBMF 2008, Salvador, Brazil, August 26-29, 2008"
Modifying Esterel Concepts to Model Hybrid Systems.,"Synchronous Languages, Applications, and Programming, SLAP 2002, Satellite Event of ETAPS 2002, Grenoble, France, April 13, 2002"
Preface.,"Workshop on Runtime Verification, RV 2001, in connection with CAV 2001, Paris, France, July 23, 2001"
History and Developments.,"Tutorial Workshop on Realizability Semantics and Applications, associated to FLoC'99, the 1999 Federated Logic Conference, Trento, Italy, June 30 - July 1, 1999"
False,"Proceedings of the 8th International Symposium on Domain Theory and Its Applications, ISDT 2019, Yangzhou, China, June 14-17, 2019"
Modeling and Analysis of Non-functional Properties in Component-based Systems.,"International Workshop on Test and Analysis of Component-Based Systems, TACoS 2003, Satellite Event of ETAPS 2003, Warsaw, Poland, April 5-6, 2003"
Effective and Efficient Compilation of Run-Time Generics in Java.,"Proceedings of the Second Workshop on Object Oriented Developments, WOOD 2004, London, UK, August 30, 2004"
