paper,main_author
"Constraints, Adjunctions and (Co)algebras.",Ola Angelsmark
"Taylor Expansion, Finiteness and Strategies.",Jules Chouquet
A Categorical Foundation for Structured Reversible Flowchart Languages.,Robert Glück
Object Closure Conversion.,Neal Glew
Logical Relations and Parametricity - A Reynolds Programme for Category Theory and Programming Languages.,Claudio Hermida
(In)Efficiency and Reasonable Cost Models.,Beniamino Accattoli
Improving Termination of MDG-Based Abstract State Enumeration via Term Schematization.,Eduard Cerny
Time-inhomogeneous Population Models of a Cycle-Stealing Distributed System.,Anton Stefanek
Assertion based Inductive Verification Methods for Logic Programs.,Giorgio Levi
How to Think of Intersection Types as Cartesian Products.,Rick Statman
Dioids for Computational Effects.,Exequiel Rivas
Specifying the PLAN Network Programming Langauge.,Carl A. Gunter
A Formal Framework for Hybrid Event B.,Jie Liu 0013
A Logic for Coalgebraic Simulation.,Alexandru Baltag
A Duality Between Ω-categories and Algebraic Ω-categories.,Bin Zhao
Coalgebras for Binary Methods.,Hendrik Tews
Confluence in Probabilistic Rewriting.,Alejandro Díaz-Caro
On Continuous Nondeterminism and State Minimality.,Henning Urbat
Normalization of N-Graphs via Sub-N-Graphs.,Anjolina Grisi de Oliveira
On Grainless Footprint Semantics for Shared-memory Programs.,Stephen Brookes
Weak Domain Models of ,Chong Shen 0003
How Many Times do We Need an Assumption to Prove a Tautology in Minimal Logic? Examples on the Compression Power of Classical Reasoning.,Edward Hermann Haeusler
Continuity of Gödel's System T Definable Functionals via Effectful Forcing.,Martín Hötzel Escardó
Dynamic Spaces in Concurrent Constraint Programming.,Carlos Olarte
Approximation Algorithms for Sorting Permutations by Length-Weighted Short Rearrangements.,Alexsandro Oliveira Alexandrino
Categorical Structure of Asynchrony.,Peter Selinger
Reliable Composite Web Services Execution: Towards a Dynamic Recovery Decision.,Marta Rukoz
"Polynomial Ideals, Gröbner Bases and Constraints.",Marc R. C. van Dongen
Recursion and Computability over Topological Structures.,Vasco Brattka
Secrecy in Programming-Language Semantics.,Martín Abadi
Tuple Domination on Graphs with the Consecutive-zeros Property.,Maria Inés Lopez Pujato
Fibrational Modal Type Theory.,Eike Ritter
Statistical Correction of the Result of Weather Forecast by Applying the Model Output Calibration.,Carlos Amaral Hölbig
Attacking a Feedback Controller.,Ashish Tiwari 0001
"An Ontology-based Approach for Sharing, Integrating, and Retrieving Architectural Knowledge.",Horacio Pascual Leone
The Leader Election Protocol of IEEE 1394 in Maude.,Alberto Verdejo
Effectivity and Density in Domains: A Survey.,Ulrich Berger 0001
Obtaining Optimal Thresholds for Processors with Speed-Scaling.,Natarajan Gautam
Syndetic Modelling: Computer Science Meets Cognitive Psychology.,David A. Duce
Exploiting Linearity in Sharing Analysis of Object-oriented Programs.,Francesca Scozzari
Exploiting Parallelism in Coalgebraic Logic Programming.,Ekaterina Komendantskaya
Model-Theoretic Conservative Extension for Definitional Theories.,Arve Gengelbach
Bound Analysis for Whiley Programs.,Bernhard Pfahringer
Distributivity for a monad and a comonad.,Hiroshi Watanabe 0002
Initial Algebras and Final Coalgebras Consisting of Nondeterministic Finite Trace Strategies.,Gordon D. Plotkin
Controlling File Access with Types.,Ian Mackie
Verification of Spatial and Temporal Modalities in Biochemical Systems.,Carlos Olarte
Hierarchical Hybrid Logic.,Alexandre Madeira
Machine-checked Proof of the Church-Rosser Theorem for the Lambda Calculus Using the Barendregt Variable Convention in Constructive Type Theory.,Ernesto Copello
On Three-Valued Acceptance Conditions of Abstract Dialectical Frameworks.,João F. L. Alcântara
On the Real-state Processing of Regular Operations and The Sakoda-Sipser Problem.,David Casas
An Ontological Rule-Based Approach for Analyzing Dead and False Optional Features in Feature Models.,Camille Salinesi
Representations of Algebraic Domains and Algebraic L-domains by Information Systems.,Mingyuan Wu
"Self-Quotation in a Typed, Intensional Lambda-Calculus.",Barry Jay
"If, not when.",Dick Crouch
Factorisation Systems for Logical Relations and Monadic Lifting in Type-and-effect System Semantics.,Dylan McDermott
Stupid is as Stupid Does: Taking the Square Root of the Square of a Floating-Point Number.,Sylvie Boldo
"Informational Semantics, Non-Deterministic Matrices and Feasible Deduction.",Marcello D'Agostino
Petri nets with generalized algebra: a comparison.,Gabriel Juhás
Hybrid and Subexponential Linear Logics.,Carlos Olarte
The Chromatic Index of Proper Circular-arc Graphs of Odd Maximum Degree which are Chordal.,André Luiz Pires Guedes
On SI,Shu-Zhen Luo
Effectuses from Monads.,Bart Jacobs 0001
Formalized Meta-Theory of Sequent Calculi for Substructural Logics.,Giselle Reis
"Borel Kernels and their Approximation, Categorically.",Alexandra Silva 0001
Quantitative Logics for Equivalence of Effectful Programs.,Niels F. W. Voorneveld
"Algebras, Graphs and Thetas.",Chris D. Godsil
Power Management Policy for Heterogeneous Data Center Based on Histogram and Discrete-Time MDP.,Marziyeh Bayati
Approximations for Restrictions of The Budgeted and Generalized Maximum Coverage Problems.,Breno Piva
Towards Verified Lazy Implementation of Concurrent Value-Passing Languages.,Anna Ingólfsdóttir
Intuitionistic Hypothetical Logic of Proofs.,Eduardo Bonelli
Minimization of Gini Impurity: NP-completeness and Approximation Algorithm via Connections with the k-means Problem.,Eduardo Sany Laber
Stable States of Boolean Regulatory Networks Composed Over Hexagonal Grids.,Claudine Chaouiya
On Caterpillars of Game Chromatic Number 4.,Ana Luísa C. Furtado
Towards a Directed Homotopy Type Theory.,Paige Randall North
Towards Resolution-based Reasoning for Connected Logics.,Cláudia Nalon
Finding Optimal Timetables for Edinburgh Bus Routes.,Allan Clark
Transformation of a PID Controller for Numerical Accuracy.,Alexandre Chapoutot
A Multi-agent Transgenetic Algorithm for the Bi-objective Spanning Tree Problem.,Elizabeth Ferreira Gouvea Goldbarg
PostHat and All That: Automating Abstract Interpretation.,Aditya V. Thakur
Semi-automated Tool Recommender for Software Development Processes.,Hernán Astudillo
Generating Random Well-Typed Featherweight Java Programs Using QuickCheck.,André Rauber Du Bois
Understanding Communication Patterns in HPCG.,Dean G. Chester
A Formalisation of Nominal C-Matching through Unification with Protected Variables.,Daniele Nantes-Sobrinho
Enforcing Security and Safety with Proof-Carrying Code.,George C. Necula
On coalgebra of real numbers.,Dusko Pavlovic
AnaDroid: Malware Analysis of Android with User-supplied Predicates.,David Van Horn
The Decision Problem for a Three-sorted Fragment of Set Theory with Restricted Quantification and Finite Enumerations.,Domenico Cantone
Colouring the Normalized Laplacian.,Célio Passos
Domain-complete and LCS-complete Spaces.,Jean Goubault-Larrecq
Reachability Analysis via Orthogonal Sets of Patterns.,Jérôme Feret
A Certifying Square Root and Division Elimination.,Pierre Neron
Abstract Domains for Type Juggling.,Sergio Maffeis
A Game Semantics of Concurrent Separation Logic.,Léo Stefanesco
"Uniform provability realization of intuitionistic logic, modality and lambda-terms.",Sergei N. Artëmov
Complete Axiomatization for the Total Variation Distance of Markov Chains.,Giorgio Bacci
Convex Stochastic Bounds and Stochastic Optimisation on Graphs.,A. Fauquette
Formal Verification of Health Assessment Tools: a Case Study.,Andrei Costa
Quasilinear Approximation Scheme for Steiner Multi Cycle in the Euclidean plane.,Carla Negri Lintzmayer
Stateful Runners of Effectful Computations.,Tarmo Uustalu
Elements for a Formal Model of Intentional Systems.,Antônio Carlos da Rocha Costa
Dialogue Systems for Intelligent Human Computer Interactions.,Andreas Holzinger
Bimonoidal Structure of Probability Monads.,Paolo Perrone
Morphisms of Open Games.,Jules Hedges
A Symbolic Decision Procedure for Symbolic Alternating Finite Automata.,Fang Wang
Identifying Codes in the Complementary Prism of Cycles.,Dieter Rautenbach
A General Method for Forbidden Induced Subgraph Sandwich Problem NP-completeness.,Celina M. H. de Figueiredo
"On Adjacent-vertex-distinguishing Total Colourings of Powers of Cycles, Hypercubes and Lattice Graphs.",José D. Alvarado
The Geodesic Classification Problem on Graphs.,Manoel B. Campêlo
On the Efficiency of Convex Polyhedra.,Enea Zaffanella
Representation of Partial Traces.,Marc Bagnol
Coalgebraic Update Lenses.,Danel Ahman
Translating Controlled Graph Grammars to Ordinary Graph Grammars.,Alex Bertei
Approximating Bisimilarity for Markov Processes.,Chunlai Zhou
Iterated Covariant Powerset is not a Monad.,Bartek Klin
The Expressiveness of CSP With Priority.,A. W. Roscoe 0001
Testing Applicability of Virtual Stochastic Sensors for Non-Intrusive Appliance Load Monitoring.,Claudia Krull
Proof Certificates for Equality Reasoning.,Dale Miller 0001
On the Flora of Asynchronous Locally Non-monotonic Boolean Automata Networks.,Aurore Alcolei
Abstract Similarity Analysis.,Mila Dalla Preda
Efficient Image Stitching through Mobile Offloading.,Fabian Reimeier
Hardness and Efficiency on Minimizing Maximum Distances for Graphs With Few ,Fernanda Couto
A Characterization of Claw-free CIS Graphs and New Results on the Order of CIS Graphs.,Liliana Alcón
Dimension Reduction of Large Sparse AND-NOT Network Models.,Alan Veliz-Cuba
On the Representation of Semigroups and Other Congruences in the Lambda Calculus.,Rick Statman
Meet Precontinuous Posets.,Wenfeng Zhang
A Practical Semi-External Memory Method for Approximate Pattern Matching.,Daniel Saad Nogueira Nunes
Formalizing Abstract Computability: Turing Categories in Coq.,Amy P. Felty
Fuzzy Set Abstraction.,Jacob Lidman
On the Minimum Eccentricity Isometric Cycle Problem.,Etienne Birmelé
Deciding Whether a Grid is a Topological Subgraph of a Planar Graph is NP-Complete.,Andrea Jiménez
Open Maps in Concrete Categories and Branching Bisimulation for Prefix Orders.,Harsh Beohar
Towards a Generic BPMS User Portal Definition for the Execution of Business Processes.,Andrea Delgado 0001
A Model to Guide Dynamic Adaptation Planning in Self-Adaptive Systems.,Andrés Paz
Yoneda Completion via a DCPO Completion of its Poset of Formal Balls.,Kok Min Ng
Modeling and Verification of RBC Handover Protocol.,Cong Tian
Constraining Cycle Alternations in Model Checking for Interval Temporal Logic.,Adriano Peron
Operating Policies for Energy Efficient Dynamic Server Allocation.,Matthew Forshaw
Freyd categories are Enriched Lawvere Theories.,Sam Staton
Exploring Users' Preferences in a Fuzzy Setting.,Cynthia Vera Glodeanu
Finiteness Spaces and Generalized Power Series.,J. Robin B. Cockett
A Unified Procedure for Provability and Counter-Model Generation in Minimal Implicational Logic.,Bruno Lopes Vieira
Generalized Probabilistic Satisfiability.,Andreia Mordido
Canonical HybridLF: Extending Hybrid with Dependent Types.,Amy Elizabeth Furniss
Security Testing Methodology for Vulnerabilities Detection of XSS in Web Services and WS-Security.,Eliane Martins
Binding Operators for Nominal Sets.,Arthur Azevedo de Amorim
A Branch and Price Algorithm for List Coloring Problem.,Daniel Severín 0001
Sparsity Preserving Algorithms for Octagons.,Jacques-Henri Jourdan
Multi-model Short-term Prediction Schema for mHealth Empowering Asthma Self-management.,Aris S. Lalos
Synchronous Robots vs Asynchronous Lights-Enhanced Robots on Graphs.,Alfredo Navarra
Compact Representation of Photosynthesis Dynamics by Rule-based Models.,David Safránek
Total Maps of Turing Categories.,J. Robin B. Cockett
From Reversible Programs to Univalent Universes and Back.,Amr Sabry
Method to Identify Corrections of Defects on Product Line Models.,Camille Salinesi
Isotropy of Algebraic Theories.,Jason Parker
Composition Colored Petri Nets for the Refinement of Reaction-based Models.,Cristian Gratie
Evolution of a Model-driven Process Framework.,Wilson Pádua
Towards the Design of Complex Evolving Networks with High Robustness and Resilience.,Jitesh H. Panchal
Facilitating Authentic Reasoning About Complex Systems in Middle School Science Education.,Ashok K. Goel 0001
A Socio-Technical Perspective on Interdisciplinary Interactions During the Development of Complex Engineered Systems.,Anna-Maria Rivas McGowan
Choosing Aggregation Functions for Modeling System of Systems Performance.,David Warshawsky
An Approach to Facilitate Decision Making on Architecture Evolution Strategies.,Daniel DeLaurentis
Observations on Expedited Systems Engineering Practices in Military Rapid Development Projects.,Debra Facktor Lepore
"Progressive Modeling: The Process, the Principles, and the Applications.",Mohamed Ismail
Automatic Discovery and Optimization of Parts for Image Classification.,Andrea Vedaldi
A Unified Perspective on Multi-Domain and Multi-Task Learning.,Timothy M. Hospedales
A Complete Diagrammatic Calculus for Boolean Satisfiability.,Fabio Zanasi
On distinguishability criteria for estimating generative models,Ian J. Goodfellow
Patch Locale of a Spectral Locale in Univalent Type Theory.,Ayberk Tosun
The return of AdaBoost.MH: multi-class Hamming trees.,Balázs Kégl
Learned versus Hand-Designed Feature Representations for 3d Agglomeration.,Gary B. Huang
Segmental Recurrent Neural Networks.,Chris Dyer
Learning Factored Representations in a Deep Mixture of Experts.,David Eigen
"Extended Addressing Machines for PCF, with Explicit Substitutions.",Benedetto Intrigila
