paper,co_author
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Artem Sokolov
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Ayanda Mnyakeni
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Ayodele Awokoya
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Benoît Sagot
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Bonaventure F. P. Dossou
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Clara Rivera
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Claytone Sikasote
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Colin Leong
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Daan van Esch
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Duygu Ataman
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Iroro Orife
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Isaac Caswell
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Isabel Papadimitriou
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Israel Abebe Azime
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Jamshidbek Mirzakhalov
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Julia Kreutzer
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Kelechi Ogueji
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Lisa Wang
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Mathias Jenny
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Mathias Müller 0002
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Mofetoluwa Adeyemi
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Monang Setyawan
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Nanda Muhammad
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Nasanbayar Ulzii-Orshikh
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Nisansa de Silva
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Nishant Subramani
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Nze Lawson
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Oghenefego Ahia
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Orevaoghene Ahia
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Orhan Firat
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Pallavi Baljekar
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Pedro Javier Ortiz Suárez
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Rubungo Andre Niyongabo
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Sakhile Dlamini
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Sakine Çabuk Balli
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Salomey Osei
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Shamsuddeen Hassan Muhammad
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Sneha Kudugunta
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Sokhar Samb
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Stella Biderman
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Supheakmungkol Sarin
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Sweta Agrawal
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Tapiwanashe Matangira
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Toan Q. Nguyen
Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.,Yacine Jernite
A denotationally-based program logic for higher-order store.,Jonathan Sterling
A denotationally-based program logic for higher-order store.,Lars Birkedal
BembaSpeech: A Speech Recognition Corpus for the Bemba Language.,Claytone Sikasote
Quantaloidal Completions of Order-enriched Categories and Their Applications.,Yulin Li
Low-Resource Language Modelling of South African Languages.,Jared Shapiro
Low-Resource Language Modelling of South African Languages.,Luc Hayward
Low-Resource Language Modelling of South African Languages.,Stuart Mesham
Graded Differential Categories and Graded Differential Linear Logic.,Jean-Simon Pacaud Lemay
Canonical and Surface Morphological Segmentation for Nguni Languages.,Jan Buys
Canonical and Surface Morphological Segmentation for Nguni Languages.,Sheldon Reay
Canonical and Surface Morphological Segmentation for Nguni Languages.,Tumi Moeng
A Categorical Framework for Program Semantics and Semantic Abstraction.,Shin-ya Katsumata
A Categorical Framework for Program Semantics and Semantic Abstraction.,Xavier Rival
Dependent Type Refinements for Futures.,Siva Somayyajula
Research Ethics in the Age of Digital Platforms.,Antonio Santos-Ortega
Research Ethics in the Age of Digital Platforms.,José Luis Molina
Research Ethics in the Age of Digital Platforms.,Paola Tubaro
What do Retraction Notices Reveal About Institutional Investigations into Allegations Underlying Retractions?,Lex M. Bouter
What do Retraction Notices Reveal About Institutional Investigations into Allegations Underlying Retractions?,Natalie Evans
What do Retraction Notices Reveal About Institutional Investigations into Allegations Underlying Retractions?,Shaoxiong Brian Xu
Principal Investigators' Priorities and Perceived Barriers and Facilitators When Making Decisions About Conducting Essential Research in the COVID-19 Pandemic.,Kari A. Baldwin
Principal Investigators' Priorities and Perceived Barriers and Facilitators When Making Decisions About Conducting Essential Research in the COVID-19 Pandemic.,Samuel V. Bruton
Principal Investigators' Priorities and Perceived Barriers and Facilitators When Making Decisions About Conducting Essential Research in the COVID-19 Pandemic.,Stephanie Solomon Cargill
Principal Investigators' Priorities and Perceived Barriers and Facilitators When Making Decisions About Conducting Essential Research in the COVID-19 Pandemic.,Tristan J. McIntosh
SAF: Stakeholders' Agreement on Fairness in the Practice of Machine Learning Development.,Georgina Curto
How Smart are Smart Materials? A Conceptual and Ethical Analysis of Smart Lifelike Materials for the Design of Regenerative Valve Implants.,Annelien L. Bredenoord
How Smart are Smart Materials? A Conceptual and Ethical Analysis of Smart Lifelike Materials for the Design of Regenerative Valve Implants.,Carlijn V. C. Bouten
How Smart are Smart Materials? A Conceptual and Ethical Analysis of Smart Lifelike Materials for the Design of Regenerative Valve Implants.,Karin Jongsma
Epistemic and Non-epistemic Values in Earthquake Engineering.,Lorenza Petrini
Epistemic and Non-epistemic Values in Earthquake Engineering.,Luca Zanetti
Pedagogical Orientations and Evolving Responsibilities of Technological Universities: A Literature Review of the History of Engineering Education.,Gianluigi Viscusi
Pedagogical Orientations and Evolving Responsibilities of Technological Universities: A Literature Review of the History of Engineering Education.,Gunter Bombaerts
Pedagogical Orientations and Evolving Responsibilities of Technological Universities: A Literature Review of the History of Engineering Education.,Kyriaki Papageorgiou
Pedagogical Orientations and Evolving Responsibilities of Technological Universities: A Literature Review of the History of Engineering Education.,Maja Horst
Ethics Inside the Black Box: Integrating Science and Technology Studies into Engineering and Public Policy Curricula.,Keith Raffel
Ethics Inside the Black Box: Integrating Science and Technology Studies into Engineering and Public Policy Curricula.,L. Mahadevan
Ethics Inside the Black Box: Integrating Science and Technology Studies into Engineering and Public Policy Curricula.,Sam Weiss Evans
Ethics Inside the Black Box: Integrating Science and Technology Studies into Engineering and Public Policy Curricula.,Sheila Jasanoff
A Systematic Review of the 2016 National Academy of Engineering Exemplary Ethics Programs: Revisions to a Coding Framework.,Andrew Chung
A Systematic Review of the 2016 National Academy of Engineering Exemplary Ethics Programs: Revisions to a Coding Framework.,Athena Lin
A Systematic Review of the 2016 National Academy of Engineering Exemplary Ethics Programs: Revisions to a Coding Framework.,Justin L. Hess
The Mentor's Role in Fostering Research Integrity Standards Among New Generations of Researchers: A Review of Empirical Studies.,Kris Dierickx
Caring in an Algorithmic World: Ethical Perspectives for Designers and Developers in Building AI Algorithms to Fight Fake News.,Galit Wellner
"How Neurotech Start-Ups Envision Ethical Futures: Demarcation, Deferral, Delegation.",Sebastian M. Pfotenhauer
"How Neurotech Start-Ups Envision Ethical Futures: Demarcation, Deferral, Delegation.",Sophia Knopf
A Comparative Defense of Self-initiated Prospective Moral Answerability for Autonomous Robot harm.,Ryan Tonkens
Educating Engineering Students to Address Bias and Discrimination Within Their Project Teams.,Roland Tormey
Educating Engineering Students to Address Bias and Discrimination Within Their Project Teams.,Siara Isaac
Correction: Domain Experts on Dementia-Care Technologies: Mitigating Risk in Design and Implementation.,George Demiris
Correction: Domain Experts on Dementia-Care Technologies: Mitigating Risk in Design and Implementation.,Jeffrey Kaye
Machine Ethics: Do Androids Dream of Being Good People?,M. Rosario González
Machine Ethics: Do Androids Dream of Being Good People?,Valentin Moreno 0001
Designing for Care.,Giovanni Frigo
Designing for Care.,Rafaela Hillerbrand
The Value-Free Ideal of Science: A Useful Fiction? A Review of Non-epistemic Reasons for the Research Integrity Community.,Jacopo Ambrosj
The Value-Free Ideal of Science: A Useful Fiction? A Review of Non-epistemic Reasons for the Research Integrity Community.,Kris Dierickx
A Survey Study on Knowledge and Attitude Toward the Ethics Committee and Research Ethical Practices Among Researchers From Kuwait.,Ayesha Akhil
A Survey Study on Knowledge and Attitude Toward the Ethics Committee and Research Ethical Practices Among Researchers From Kuwait.,Prem Sharma
A Survey Study on Knowledge and Attitude Toward the Ethics Committee and Research Ethical Practices Among Researchers From Kuwait.,Rashmi Shiju
A Survey Study on Knowledge and Attitude Toward the Ethics Committee and Research Ethical Practices Among Researchers From Kuwait.,Smitha Thankachan
How Do Scientists Perceive the Relationship Between Ethics and Science? A Pilot Study of Scientists' Appeals to Values.,Bill Bridges
How Do Scientists Perceive the Relationship Between Ethics and Science? A Pilot Study of Scientists' Appeals to Values.,Caleb L. Linville
How Do Scientists Perceive the Relationship Between Ethics and Science? A Pilot Study of Scientists' Appeals to Values.,James T. Laverty
How Do Scientists Perceive the Relationship Between Ethics and Science? A Pilot Study of Scientists' Appeals to Values.,Jonathan Herington
How Do Scientists Perceive the Relationship Between Ethics and Science? A Pilot Study of Scientists' Appeals to Values.,Scott Tanona
How Do Scientists Perceive the Relationship Between Ethics and Science? A Pilot Study of Scientists' Appeals to Values.,Tyler Garcia
Genetically Engineered Foods and Moral Absolutism: A Representative Study from Germany.,Johanna Jauernig
Genetically Engineered Foods and Moral Absolutism: A Representative Study from Germany.,Matthias Uhl
Co-creating Research Integrity Education Guidelines for Research Institutions.,Guy Widdershoven
Co-creating Research Integrity Education Guidelines for Research Institutions.,Joeri Tijdink
Co-creating Research Integrity Education Guidelines for Research Institutions.,Kris Dierickx
Co-creating Research Integrity Education Guidelines for Research Institutions.,Krishma Labib
Co-creating Research Integrity Education Guidelines for Research Institutions.,Lex M. Bouter
Co-creating Research Integrity Education Guidelines for Research Institutions.,Miranda Langendam
Co-creating Research Integrity Education Guidelines for Research Institutions.,Natalie Evans
Co-creating Research Integrity Education Guidelines for Research Institutions.,Noémie Aubert Bonn
Co-creating Research Integrity Education Guidelines for Research Institutions.,Teodora Konach
Reflections on Putting AI Ethics into Practice: How Three AI Ethics Approaches Conceptualize Theory and Practice.,Matthias Braun 0006
Playing Brains: The Ethical Challenges Posed by Silicon Sentience and Hybrid Intelligence in DishBrain.,Georg Starke
Playing Brains: The Ethical Challenges Posed by Silicon Sentience and Hybrid Intelligence in DishBrain.,Stephen R. Milford
Is Online Moral Outrage Outrageous? Rethinking the Indignation Machine.,Cristina Voinea
Is Online Moral Outrage Outrageous? Rethinking the Indignation Machine.,Emilian Mihailov
The Contribution of Moral Case Deliberation to Teaching RCR to PhD Students.,Giulia Inguaggiato
The Contribution of Moral Case Deliberation to Teaching RCR to PhD Students.,Guy Widdershoven
The Contribution of Moral Case Deliberation to Teaching RCR to PhD Students.,Krishma Labib
The Contribution of Moral Case Deliberation to Teaching RCR to PhD Students.,Lex M. Bouter
The Contribution of Moral Case Deliberation to Teaching RCR to PhD Students.,Natalie Evans
"A Taxonomy for Research Intergrity Training: Design, Conduct, and Improvements in Research Integrity Courses.",Linda Zollitsch
"A Taxonomy for Research Intergrity Training: Design, Conduct, and Improvements in Research Integrity Courses.",Mariette A. van den Hoven
