paper,cites
A Hierarchical Framework for Component-based Real-time Systems.,SAT-based methods for sequential hardware equivalence verification without synchronization.
A Hierarchical Framework for Component-based Real-time Systems.,J-Park Simulator: An ontology-based platform for cross-domain scenarios in process industry.
An Improvement of Software Architecture Verification.,Learning Factored Representations in a Deep Mixture of Experts.
Quantales as completions of ordered monoids - Revised semantics for Intuitionistic Linear Logic.,Coalgebras and Modal Logic.
Quantales as completions of ordered monoids - Revised semantics for Intuitionistic Linear Logic.,Healthiness Conditions for Predicate Transformers.
Quantales as completions of ordered monoids - Revised semantics for Intuitionistic Linear Logic.,Incremental Rebinding with Name Polymorphism.
Quantales as completions of ordered monoids - Revised semantics for Intuitionistic Linear Logic.,Space-Efficient Sampling.
The Second Rewrite Engines Competition.,Formal Biochemical Space with Semantics in Kappa and BNGL.
The Second Rewrite Engines Competition.,"Detectability, duality, and surplus extraction."
The Second Rewrite Engines Competition.,Utility network optimization in eco-industrial parks by a multi-leader follower game methodology.
"General Refinement, Part Two: Flexible Refinement.",Unsupervised Supervised Learning II: Margin-Based Classification without Labels.
"General Refinement, Part Two: Flexible Refinement.",Final Coalgebras And a Solution Theorem for Arbitrary Endofunctors.
"General Refinement, Part Two: Flexible Refinement.",A Multi-agent Transgenetic Algorithm for the Bi-objective Spanning Tree Problem.
"General Refinement, Part Two: Flexible Refinement.",An Amharic News Text classification Dataset.
Component Identification Through Program Slicing.,Learning Bayesian Network Structure using LP Relaxations.
Component Identification Through Program Slicing.,Relationship externalities.
Component Identification Through Program Slicing.,Bayesian persuasion with costly messages.
On the Expressiveness of Movement in Pure Mobile Ambients.,Digital straightness.
On the Expressiveness of Movement in Pure Mobile Ambients.,"Discussion of ""Spectral Dimensionality Reduction via Maximum Entropy""."
On the Expressiveness of Movement in Pure Mobile Ambients.,Meaningful Lives in an Age of Artificial Intelligence: A Reply to Danaher.
Case Analysis of Higher-Order Data.,Model checking of causal knowledge formulas.
Case Analysis of Higher-Order Data.,Deterministic global process optimization: Accurate (single-species) properties via artificial neural networks.
Case Analysis of Higher-Order Data.,Group Orthogonal Matching Pursuit for Logistic Regression.
"From Global to Local State, Coalgebraically and Compositionally.",A Unified Perspective on Multi-Domain and Multi-Task Learning.
Two-dimensional linear algebra.,Formal Specification of a Web Services Protocol.
Logic Programming with Bunched Implications.,The evaluation strategy for head normal form with and without on-demand flags.
Logic Programming with Bunched Implications.,Monitoring Bounded LTL Properties Using Interval Analysis.
Logic Programming with Bunched Implications.,Tree-Based Inference for Dirichlet Process Mixtures.
Impossibility Results in the Equational Logic of Processes.,Coherence Functions for Multicategory Margin-based Classification Methods.
Impossibility Results in the Equational Logic of Processes.,Facial Expression Detection using Filtered Local Binary Pattern Features with ECOC Classifiers and Platt Scaling.
Visual Modeling of Distributed Object Systems by Graph Transformation.,Derivation of Characteristic Formulae.
Visual Modeling of Distributed Object Systems by Graph Transformation.,Algebras of the Extended Probabilistic Powerdomain Monad.
Visual Modeling of Distributed Object Systems by Graph Transformation.,New batch-centric model for detailed scheduling and inventory management of mesh pipeline networks.
Typechecking Safe Process Synchronization.,Confluence in Probabilistic Rewriting.
General Reversibility.,Performance Analysis of Collective Adaptive Behaviour in Time and Space.
General Reversibility.,Learning efficient equilibria in repeated games.
On the Complexity of the Extended Euclidean Algorithm (extended abstract).,A simple multi-armed bandit algorithm with optimal variation-bounded regret.
SAXO-RT: Interpreting Esterel Semantic on a Sequential Execution Structure.,A Multi-Adjoint Approach to Similarity-Based Unification.
SAXO-RT: Interpreting Esterel Semantic on a Sequential Execution Structure.,Specifying the PLAN Network Programming Langauge.
SAXO-RT: Interpreting Esterel Semantic on a Sequential Execution Structure.,Moving from Weakly Endochronous Systems to Delay-Insensitive Circuits.
SAXO-RT: Interpreting Esterel Semantic on a Sequential Execution Structure.,Statistical Optimization of Non-Negative Matrix Factorization.
Efficient Constraint/Generator Removal from Double Description of Polyhedra.,Automated Techniques for Surviving (Otherwise) Fatal Software Errors.
Efficient Constraint/Generator Removal from Double Description of Polyhedra.,Proper Multi-Type Display Calculi for Rough Algebras.
Efficient Constraint/Generator Removal from Double Description of Polyhedra.,A Characterization of Monotonicity with Collective Quantifiers.
Efficient Constraint/Generator Removal from Double Description of Polyhedra.,Some Applications of the Formalization of the Pumping Lemma for Context-Free Languages.
Design and Implementation of the L+C Modeling Language.,Multi-Label Output Codes using Canonical Correlation Analysis.
Design and Implementation of the L+C Modeling Language.,Auxiliary Image Regularization for Deep CNNs with Noisy Labels.
Static Validation of a Voting Protocol.,Game Semantics for Quantum Stores.
Static Validation of a Voting Protocol.,Implementing X.
A Graph-based Semantics For Object-oriented Programming Constructs.,A simple multi-armed bandit algorithm with optimal variation-bounded regret.
A Graph-based Semantics For Object-oriented Programming Constructs.,Data-driven robust optimization based on kernel learning.
A Graph-based Semantics For Object-oriented Programming Constructs.,An Overview of QML With a Concrete Implementation in Haskell.
A Graph-based Semantics For Object-oriented Programming Constructs.,Reasoning About Interaction Protocols for Web Service Composition.
Testing XML constraint satisfiability.,Deterministic Annealing for Semi-Supervised Structured Output Learning.
Testing XML constraint satisfiability.,Giry and the Machine.
Testing XML constraint satisfiability.,On the use of physical boundary conditions for two-phase flow simulations: Integration of control feedback.
Fluid Performability Analysis of Nested Automata Models.,Fast State Discovery for HMM Model Selection and Learning.
Fluid Performability Analysis of Nested Automata Models.,Infinitary Howe's Method.
Fluid Performability Analysis of Nested Automata Models.,Multiproduct pipeline scheduling integrating for inbound and outbound inventory management.
Fluid Performability Analysis of Nested Automata Models.,Dirichlet is Natural.
Topological (Bi-)Simulation.,Product design: Impact of government policy and consumer preference on company profit and corporate social responsibility.
Topological (Bi-)Simulation.,A Monad for Randomized Algorithms.
Topological (Bi-)Simulation.,Learning from Retracted Papers Authored by the Highly Cited Iran-affiliated Researchers: Revisiting Research Policies and a Key Message to Clarivate Analytics.
Topological (Bi-)Simulation.,Stochastic modeling of fuel procurement for electricity generation with contractual terms and logistics constraints.
Systematic Model-Based Testing of Embedded Automotive Software.,Evaluation Method for Feature Rankings and their Aggregations for Biomarker Discovery.
Systematic Model-Based Testing of Embedded Automotive Software.,Complete Elgot Monads and Coalgebraic Resumptions.
Systematic Model-Based Testing of Embedded Automotive Software.,Tighter and Convex Maximum Margin Clustering.
Systematic Model-Based Testing of Embedded Automotive Software.,Adequacy and Complete Axiomatization for Timed Modal Logic.
Modelling Node Connectivity in Dynamically Evolving Networks.,Locality of Queries and Transformations.
Methods for Proving Termination of Rewriting-based Programming Languages by Transformation.,Causality with Gates.
Methods for Proving Termination of Rewriting-based Programming Languages by Transformation.,On the Expressiveness of Movement in Pure Mobile Ambients.
Methods for Proving Termination of Rewriting-based Programming Languages by Transformation.,Reasoning in Abella about Structural Operational Semantics Specifications.
A Categorical Theory of Patches.,"Automatic, Model-Based Software Performance Improvement for Component-based Software Designs."
A Categorical Theory of Patches.,Yoneda Completion via a DCPO Completion of its Poset of Formal Balls.
A Categorical Theory of Patches.,Classical Control and Quantum Circuits in Enriched Category Theory.
A Categorical Theory of Patches.,"Applying a Stochastic Model to a Dynamic, QoS Enabled Web Services Hosting Environment."
"Monadic Corecursion - Definition, Fusion Laws, and Applications.",Proof-theoretic notions for software maintenance.
"Monadic Corecursion - Definition, Fusion Laws, and Applications.",Numerical Validation of Compensated Summation Algorithms with Stochastic Arithmetic.
"Monadic Corecursion - Definition, Fusion Laws, and Applications.",Finitary Higher Inductive Types in the Groupoid Model.
